itemID,ItemType,Name,Description,canStack,MaxStack,type,isConsumable,equipSlot,atk,def
fish,Consumable,고등어 ,음식,TRUE,99,food,TRUE,None,0,0
Tuna,Consumable,참치,음식,TRUE,99,food,TRUE,None,0,0
Wood,Material,나무판자,재료 ,TRUE,99,Material,FALSE,None,0,0
Meat,Consumable,소고기 ,음식,TRUE,99,food,TRUE,None,0,0
Chicken,Consumable,치킨,음식,TRUE,99,food,TRUE,None,0,0
Sword_iron,Equipment ,철검,무기,FALSE,1,Sword,FALSE,Weapon,10,0
Sword_stone,Equipment ,돌검,무기,FALSE,1,Sword,FALSE,Weapon,10,0
Sword_wood,Equipment ,나무검,무기,FALSE,1,Sword,FALSE,Weapon,10,0
Breastplate,Equipment ,흉갑,갑옷,FALSE,1,Equipment,FALSE,Armor,0,10
Ax_iron,Equipment ,철도끼,무기,FALSE,1,Axe,FALSE,Weapon,5,0
Ax_stone,Equipment ,돌도끼,무기,FALSE,1,Axe,FALSE,Weapon,3,0
Ax_wood,Equipment ,나무도끼,무기,FALSE,1,Axe,FALSE,Weapon,1,0
GreenSlime_item,Material,초록보석,재료 ,TRUE,99,Material,FALSE,None,0,0
BlueSlime_item,Material,파랑보석,재료 ,TRUE,99,Material,FALSE,None,0,0
RedSlime_item,Material,빨간보석,재료 ,TRUE,99,Material,FALSE,None,0,0
Hoe,Equipment ,괭이,농기구,FALSE,1,Hoe,FALSE,Tool,1,0
Pick,Equipment ,곡괭이,무기,FALSE,1,Pick,FALSE,Weapon,2,0
WateringCan,Equipment ,물뿌리개,물뿌리개,FALSE,1,WateringCan,FALSE,Tool,0,0
CutRock,Material,조약돌,재료 ,TRUE,99,Material,FALSE,None,0,0
Gold,Material,금괴,재료 ,TRUE,99,Material,FALSE,None,0,0
Potato_Seed,Material,감자씨앗,씨앗,TRUE,99,Seed,TRUE,None,0,0
Potato,Consumable,감자,음식,TRUE,99,food,TRUE,None,0,0
